Agency,Event Number,Address,Beat,Call Source Text,Priority,Create Time Incident,Dispatch Time Primary,Arrival Time Primary,Incident Type ID,Incident Type Description,Disposition 1 Text,
OP,LOP190110000946,4000 ALAMEDA AV,23X,DEFAULT - PHONE INIT,2,1/10/19 18:29,,,SIDESH,SIDESHOW,CALL MANAGEMENT STRATEGY,
OP,LOP190119001081,SB 42ND OFFRP AV&NB I880,23X,FIELD INITIATED BY D,2,1/19/19 22:55,1/19/19 22:55,1/19/19 22:55,SDESHO,SIDESHOW,ADMINISTRATIVE,
OP,LOP190120000060,SIDESHOW,,DEFAULT - PHONE INIT,1,1/20/19 1:12,1/20/19 1:13,1/20/19 1:15,SIDESH,SIDESHOW,CALL HANDLED,
OP,LOP190120000145,98TH AV&NB I880,31Y,DEFAULT - PHONE INIT,1,1/20/19 3:18,1/20/19 3:18,1/20/19 3:25,SIDESH,SIDESHOW,ADMINISTRATIVE,
OP,LOP190121000450,7701 KRAUSE AV,30X,911 CALL,2,1/21/19 13:20,1/21/19 13:25,1/21/19 13:36,SIDESH,SIDESHOW,REPORT TAKEN-ASSIGNMENT REPORT,
OP,LOP190121000652,LAKESHORE AV&MACARTHUR BLVD,14X,911 CALL,2,1/21/19 16:42,1/21/19 16:43,1/21/19 16:50,SIDESH,SIDESHOW,UNABLE TO LOCATE,
OP,LOP190125000936,3000 LOGAN ST,21Y,911 CALL,2,1/25/19 18:59,1/25/19 19:38,,SDESHO,SIDESHOW,GONE ON ARRIVAL,
OP,LOP190126000660,BURMA RD&MARITIME ST,05Y,DEFAULT - PHONE INIT,5,1/26/19 15:23,,,SIDESH,SIDESHOW,BROADCAST,
OP,LOP190127000538,1155 MARITIME ST,05Y,DEFAULT - PHONE INIT,2,1/27/19 13:50,1/27/19 13:55,1/27/19 14:04,SDESHO,SIDESHOW,COVER,
OP,LOP190127000693,GRAND AV&WELDON AV,14Y,DEFAULT - PHONE INIT,2,1/27/19 16:11,,,SIDESH,SIDESHOW,CALL MANAGEMENT STRATEGY,
OP,LOP190127000732,FRUITVALE AV&INTERNATIONAL BLVD,23X,911 CALL,5,1/27/19 16:56,,,SIDESH,SIDESHOW,BROADCAST,
OP,LOP190127000765,29TH ST&TELEGRAPH AV,08X,DEFAULT - PHONE INIT,2,1/27/19 17:25,1/27/19 17:30,1/27/19 17:35,SDESHO,SIDESHOW,GONE ON ARRIVAL,
OP,LOP190207000959,23RD AV&FOOTHILL BLVD,20X,911 CALL,2,2/7/19 17:44,2/7/19 19:08,2/7/19 19:17,SIDESH,SIDESHOW,COVER,
OP,LOP190210000568,AVENUE N&5TH,,911 CALL,2,2/10/19 14:36,,,SDESHO,SIDESHOW,REFERRED TO OTHER AGENCY,
OP,LOP190223000790,23RD AV&FOOTHILL BLVD,20X,DEFAULT - PHONE INIT,2,2/23/19 19:05,,,SIDESH,SIDESHOW,CALL HANDLED,
OP,LOP190223000799,E 15TH ST&23RD AV,20X,DEFAULT - PHONE INIT,2,2/23/19 19:14,,,SIDESH,SIDESHOW,CALL HANDLED,
OP,LOP190223000809,E 15TH ST&23RD AV,19X,FIELD INITIATED BY D,2,2/23/19 19:28,2/23/19 19:28,2/23/19 19:28,SDESHO,SIDESHOW,COVER,
